attribute,level_key,level_label,id,focus_area,title,organization,summary,bullet_1,bullet_2
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_01,data reporting,Library Student Assistant,campus library circulation desk,"Held a student or campus role, but no directly relevant internship was listed.",Helped maintain records and answered routine student questions.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_02,client support,Admissions Ambassador,university admissions office,"Held a student or campus role, but no directly relevant internship was listed.",Supported campus visit logistics and responded to prospective student questions.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_03,marketing analytics,Peer Tutor,academic support center,"Held a student or campus role, but no directly relevant internship was listed.",Provided weekly tutoring sessions and tracked attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_04,financial reporting,Residence Hall Assistant,student housing office,"Held a student or campus role, but no directly relevant internship was listed.",Coordinated resident check-ins and documented maintenance requests.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_05,supply chain coordination,Student Event Assistant,campus events office,"Held a student or campus role, but no directly relevant internship was listed.",Organized registration materials and supported event setup.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_06,research support,Bookstore Associate,campus bookstore,"Held a student or campus role, but no directly relevant internship was listed.",Handled point-of-sale transactions and restocked merchandise.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_07,people operations,Front Desk Assistant,student recreation center,"Held a student or campus role, but no directly relevant internship was listed.",Managed sign-ins and responded to member inquiries.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_08,sales support,Office Assistant,department administrative office,"Held a student or campus role, but no directly relevant internship was listed.",Scheduled appointments and maintained filing systems.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_09,customer success,Community Volunteer Coordinator,student service club,"Held a student or campus role, but no directly relevant internship was listed.",Organized volunteer sign-ups and tracked participation.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_10,project coordination,Orientation Leader,new student orientation program,"Held a student or campus role, but no directly relevant internship was listed.",Guided incoming students and handled logistics.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_11,healthcare administration,Teaching Assistant,introductory undergraduate course,"Held a student or campus role, but no directly relevant internship was listed.",Supported grading and held review sessions.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_12,nonprofit program support,Dining Services Team Member,campus dining hall,"Held a student or campus role, but no directly relevant internship was listed.",Handled customer service and shift coordination tasks.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_13,retail planning,Campus Technology Helper,student IT help desk,"Held a student or campus role, but no directly relevant internship was listed.",Resolved basic account and device issues.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_14,insurance support,Research Lab Assistant,faculty lab office,"Held a student or campus role, but no directly relevant internship was listed.",Organized study materials and maintained participant schedules.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_15,education services,Student Call Center Representative,alumni relations office,"Held a student or campus role, but no directly relevant internship was listed.",Updated contact records and logged outreach results.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_16,real estate support,Fitness Desk Assistant,university fitness center,"Held a student or campus role, but no directly relevant internship was listed.",Processed check-ins and maintained equipment logs.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_17,hospitality operations,Museum Visitor Assistant,local museum front desk,"Held a student or campus role, but no directly relevant internship was listed.",Provided visitor support and tracked daily attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_18,product support,Community Center Assistant,municipal community center,"Held a student or campus role, but no directly relevant internship was listed.",Coordinated room bookings and responded to inquiries.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_19,communications support,School Program Volunteer,after-school enrichment program,"Held a student or campus role, but no directly relevant internship was listed.",Supervised activities and recorded attendance.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,no_relevant_internship_experience,No relevant internship experience,intern_20,procurement support,Retail Sales Associate,local retail store,"Held a student or campus role, but no directly relevant internship was listed.",Assisted customers and maintained inventory displays.,Managed recurring responsibilities while balancing coursework and weekly deadlines.
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_01,data reporting,Data Operations Intern,North Harbor Insights,Completed a relevant internship focused on data reporting at a smaller firm.,Supported day-to-day work related to data reporting and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_02,client support,Operations Intern,Blue Ridge Advisory,Completed a relevant internship focused on client support at a smaller firm.,Supported day-to-day work related to client support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_03,marketing analytics,Marketing Intern,Cedar Point Analytics,Completed a relevant internship focused on marketing analytics at a smaller firm.,Supported day-to-day work related to marketing analytics and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_04,financial reporting,Finance Intern,Maple Street Consulting,Completed a relevant internship focused on financial reporting at a smaller firm.,Supported day-to-day work related to financial reporting and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_05,supply chain coordination,Operations Intern,Brightwell Strategy Group,Completed a relevant internship focused on supply chain coordination at a smaller firm.,Supported day-to-day work related to supply chain coordination and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_06,research support,Research Assistant Intern,Pinecrest Research,Completed a relevant internship focused on research support at a smaller firm.,Supported day-to-day work related to research support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_07,people operations,HR Intern,Silver Oak Solutions,Completed a relevant internship focused on people operations at a smaller firm.,Supported day-to-day work related to people operations and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_08,sales support,Sales Operations Intern,Redwood Business Services,Completed a relevant internship focused on sales support at a smaller firm.,Supported day-to-day work related to sales support and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_09,customer success,Customer Success Intern,HarborLine Operations,Completed a relevant internship focused on customer success at a smaller firm.,Supported day-to-day work related to customer success and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
Internship experience,relevant_internship_smaller_firm,Relevant internship at a smaller firm,intern_10,project coordination,Project Support Intern,Summit Trail Partners,Completed a relevant internship focused on project coordination at a smaller firm.,Supported day-to-day work related to project coordination and prepared materials for internal team review.,"Worked closely with a small team and handled tasks spanning analysis, coordination, and follow-up."
